,Gross domestic product,,Agriculture,,Industry,,Manufacturing,,Services,
,,,,,,,,,,
,$ billions,,% of GDP,,% of GDP,,% of GDP,,% of GDP,
,2005,2016,2005,2016,2005,2016,2005,2016,2005,2016
Algeria,103.2,159,8,13,61,38,..,6,30,49
Angola,28.2,95.3,..,..,..,..,..,..,..,..
Benin,4.8,8.6,28,26,31,23,22,14,42,51
Botswana,9.9,15.6,2,2,48,35,6,6,50,63
Burkina Faso,5.5,11.7,39,31,18,26,12,11,43,43
Burundi,1.1,3,44,40,18,17,13,10,37,44
Cabo Verde,1,1.6,11,10,19,19,..,..,71,71
Cameroon,17.9,32.2,15,17,30,27,17,13,55,57
Central African Republic,1.3,1.8,55,43,14,16,8,7,31,41
Chad,6.6,9.6,55,50,9,15,0,3,36,35
Comoros,0.4,0.6,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",12,35.4,22,20,33,44,20,20,45,36
"Congo, Rep.",6.1,7.8,5,9,72,50,4,8,24,41
Cote d'Ivoire,17.1,36.4,..,23,..,31,..,14,..,46
Djibouti,0.7,1.7,4,..,17,..,3,..,80,..
"Egypt, Arab Rep.",89.7,332.8,15,12,36,33,18,17,49,55
Equatorial Guinea,8.2,10.7,2,3,83,51,7,12,15,47
Eritrea,1.1,..,24,..,22,..,7,..,54,..
Ethiopia,12.4,72.4,45,37,13,21,5,4,42,41
Gabon,9.6,14.2,5,5,63,48,4,3,31,47
"Gambia, The",0.6,1,29,18,15,13,7,5,56,69
Ghana,10.7,42.7,41,20,27,28,9,6,32,52
Guinea,2.9,8.2,24,20,35,31,7,..,41,49
Guinea-Bissau,0.6,1.2,46,49,14,14,..,..,40,37
Kenya,18.7,70.5,27,36,19,19,12,10,54,45
Lesotho,1.7,2.3,6,6,38,37,23,17,55,57
Liberia,0.6,2.1,66,34,7,13,7,3,27,53
Libya,47.3,..,2,..,75,..,5,..,22,..
Madagascar,5,10,28,25,16,19,14,..,56,56
Malawi,3.7,5.4,37,28,17,16,12,10,46,56
Mali,6.2,14,36,42,25,18,..,..,39,40
Mauritania,2.2,4.7,31,27,33,30,10,7,36,43
Mauritius,6.3,12.2,6,4,28,21,20,14,66,76
Morocco,62.3,103.6,13,14,29,30,19,18,58,57
Mozambique,7.7,11,26,25,21,22,15,10,54,54
Namibia,7.3,10.9,11,7,29,31,14,12,59,62
Niger,3.4,7.5,43,41,11,18,5,6,46,40
Nigeria,112.2,404.7,33,21,44,18,3,9,24,60
Rwanda,2.6,8.4,38,32,12,18,6,6,50,51
Sao Tome and Principe,0.1,0.3,..,12,..,17,..,7,..,71
Senegal,8.7,14.7,17,17,24,23,15,14,60,59
Seychelles,0.9,1.4,4,3,20,14,11,8,76,83
Sierra Leone,1.6,3.7,52,59,12,7,3,2,36,34
Somalia,..,6.2,..,..,..,..,..,..,..,..
South Africa,257.7,295.5,3,2,30,29,18,13,67,69
South Sudan,..,9,..,..,..,..,..,..,..,..
Sudan,26.5,95.6,32,39,28,3,7,..,41,58
Swaziland,3.2,3.7,11,10,41,38,36,33,47,52
Tanzania,16.9,47.3,30,32,21,27,8,6,49,41
Togo,2.1,4.4,39,41,17,17,9,5,43,42
Tunisia,32.3,42.1,10,10,29,26,17,17,61,64
Uganda,9,24.1,27,26,25,22,7,9,48,52
Zambia,8.3,21.1,16,7,30,37,11,8,54,57
Zimbabwe,5.8,16.6,19,11,29,23,16,10,53,66
World,"47,428.50","75,871.70",4,5,30,29,18,17,66,66
East Asia & Pacific,"10,311.30","22,490.00",6,5,37,34,26,24,57,61
Europe & Central Asia,"16,747.80","20,278.10",3,2,28,26,17,16,70,72
Latin America & Caribbean,"2,845.50","5,319.60",6,6,34,27,18,15,61,67
Middle East & North Africa,"1,530.10","3,144.80",6,6,53,37,13,11,44,57
North America,"14,268.00","20,166.30",1,1,22,20,13,12,77,79
South Asia,"1,028.60","2,892.50",20,18,32,28,18,16,48,54
Sub-Saharan Africa,687.2,"1,516.10",21,17,32,24,11,11,48,58
Low income,159.8,406.2,33,30,21,23,11,8,46,47
Lower middle income,"2,205.20","6,263.30",20,16,33,30,17,17,48,54
Upper middle income,"7,480.30","20,623.90",8,7,41,34,24,21,51,59
High income,"37,574.90","48,580.90",2,1,27,25,16,15,72,74
